review_id,order_id,review_score,review_comment,estimated_delivery_date,actual_delivery_date,review_date
R000154,O000222,4,Loved it!,2024-02-15,2024-02-13,2024-02-15
R000155,O000223,5,Exactly as described. Very happy.,2023-12-29,2023-12-28,2023-12-29
R000156,O000224,4,Good value for money.,2023-08-14,2023-08-14,2023-08-17
R000157,O000226,5,"Excellent quality, will buy again.",2023-10-18,2023-10-18,2023-10-22
R000158,O000232,4,Loved it!,2024-10-08,2024-10-06,2024-10-10
R000159,O000233,3,Delivery took longer than expected.,2024-01-01,2024-01-02,2024-01-06
R000160,O000235,5,Loved it!,2024-12-18,2024-12-16,2024-12-19
R000161,O000236,3,Decent but packaging could improve.,2023-04-28,2023-04-30,2023-05-03
R000162,O000237,3,Delivery took longer than expected.,2023-07-20,2023-07-23,2023-07-27
R000163,O000238,3,Decent but packaging could improve.,2023-11-01,2023-11-02,2023-11-03
R000164,O000240,3,"Product is okay, average quality.",2023-11-11,2023-11-13,2023-11-14
R000165,O000241,4,Decent but packaging could improve.,2024-11-26,2024-11-28,2024-11-29
R000166,O000242,2,Decent but packaging could improve.,2024-05-29,2024-06-01,2024-06-04
R000167,O000244,4,Delivery took longer than expected.,2023-08-27,2023-08-30,2023-09-02
R000168,O000245,2,Not worth the price.,2024-09-19,2024-09-26,2024-09-30
R000169,O000246,5,"Excellent quality, will buy again.",2024-12-22,2024-12-21,2024-12-23
R000170,O000248,4,Good value for money.,2023-01-11,2023-01-11,2023-01-13
R000171,O000250,5,Exactly as described. Very happy.,2023-03-03,2023-03-01,2023-03-04
R000172,O000253,3,"Product is okay, average quality.",2024-02-29,2024-03-01,2024-03-04
R000173,O000254,3,Delivery took longer than expected.,2024-05-24,2024-05-24,2024-05-26
R000174,O000255,5,"Great product, fast delivery!",2023-03-19,2023-03-17,2023-03-20
R000175,O000256,4,"Works fine, nothing special.",2023-10-09,2023-10-11,2023-10-14
R000176,O000257,4,"Excellent quality, will buy again.",2023-11-16,2023-11-14,2023-11-15
R000177,O000258,5,Loved it!,2023-09-11,2023-09-09,2023-09-12
R000178,O000259,5,Good value for money.,2023-04-11,2023-04-10,2023-04-14
R000179,O000260,3,"Product is okay, average quality.",2023-11-30,2023-12-01,2023-12-03
R000180,O000262,3,Decent but packaging could improve.,2023-03-01,2023-03-04,2023-03-05
R000181,O000263,4,Loved it!,2023-03-25,2023-03-23,2023-03-27
R000182,O000264,4,Exactly as described. Very happy.,2023-09-10,2023-09-08,2023-09-10
R000183,O000265,4,"Great product, fast delivery!",2024-12-24,2024-12-24,2024-12-25
R000184,O000266,4,Good value for money.,2024-04-07,2024-04-06,2024-04-10
R000185,O000268,3,"Product is okay, average quality.",2023-10-03,2023-10-02,2023-10-03
R000186,O000270,3,"Product is okay, average quality.",2023-01-23,2023-01-25,2023-01-29
R000187,O000274,4,Loved it!,2024-10-22,2024-10-20,2024-10-24
R000188,O000275,3,Decent but packaging could improve.,2024-05-12,2024-05-13,2024-05-15
R000189,O000276,2,"Product is okay, average quality.",2023-04-27,2023-04-28,2023-05-02
R000190,O000278,5,Good value for money.,2023-03-03,2023-03-02,2023-03-04
R000191,O000279,3,"Product is okay, average quality.",2024-01-09,2024-01-12,2024-01-15
R000192,O000282,5,"Excellent quality, will buy again.",2023-12-02,2023-12-01,2023-12-02
R000193,O000283,5,"Great product, fast delivery!",2023-08-22,2023-08-20,2023-08-22
R000194,O000284,4,"Excellent quality, will buy again.",2023-12-30,2023-12-28,2024-01-01
R000195,O000285,3,Decent but packaging could improve.,2024-02-18,2024-02-21,2024-02-22
R000196,O000286,5,"Excellent quality, will buy again.",2023-02-09,2023-02-08,2023-02-11
R000197,O000287,4,Exactly as described. Very happy.,2023-05-01,2023-04-29,2023-05-01
R000198,O000288,2,"Works fine, nothing special.",2024-01-14,2024-01-15,2024-01-19
R000199,O000289,4,Exactly as described. Very happy.,2023-09-08,2023-09-06,2023-09-07
R000200,O000294,4,Loved it!,2023-11-29,2023-11-29,2023-12-01
R000201,O000295,4,Good value for money.,2024-04-27,2024-04-25,2024-04-29
R000202,O000296,5,Loved it!,2023-07-25,2023-07-24,2023-07-26
R000203,O000297,5,"Excellent quality, will buy again.",2023-08-22,2023-08-21,2023-08-24
R000204,O000300,4,Decent but packaging could improve.,2024-08-25,2024-08-28,2024-08-30
R000205,O000302,5,"Excellent quality, will buy again.",2024-10-13,2024-10-12,2024-10-13
R000206,O000303,3,Delivery took longer than expected.,2024-11-13,2024-11-14,2024-11-15
R000207,O000306,2,"Product is okay, average quality.",2024-03-03,2024-03-06,2024-03-07
R000208,O000307,5,Exactly as described. Very happy.,2023-10-24,2023-10-23,2023-10-26
R000209,O000308,4,Loved it!,2024-02-07,2024-02-06,2024-02-07
R000210,O000309,3,Delivery took longer than expected.,2024-05-23,2024-05-22,2024-05-25
R000211,O000310,3,"Works fine, nothing special.",2024-05-06,2024-05-08,2024-05-09
R000212,O000311,3,Delivery took longer than expected.,2023-10-28,2023-10-27,2023-10-30
R000213,O000313,2,Decent but packaging could improve.,2023-11-24,2023-11-25,2023-11-28
R000214,O000315,5,Exactly as described. Very happy.,2024-11-16,2024-11-15,2024-11-17
R000215,O000317,4,Exactly as described. Very happy.,2023-05-08,2023-05-08,2023-05-12
R000216,O000318,4,"Excellent quality, will buy again.",2023-01-18,2023-01-16,2023-01-19
R000217,O000319,4,Delivery took longer than expected.,2024-03-09,2024-03-10,2024-03-13
R000218,O000321,4,"Product is okay, average quality.",2023-09-20,2023-09-23,2023-09-26
R000219,O000322,3,"Works fine, nothing special.",2023-02-20,2023-02-21,2023-02-25
R000220,O000325,5,Loved it!,2024-04-23,2024-04-23,2024-04-26
R000221,O000326,2,"Works fine, nothing special.",2024-02-24,2024-02-26,2024-02-28
R000222,O000327,4,"Product is okay, average quality.",2023-10-02,2023-10-03,2023-10-06
R000223,O000328,3,"Works fine, nothing special.",2023-06-10,2023-06-11,2023-06-14
R000224,O000329,3,"Product is okay, average quality.",2024-12-07,2024-12-09,2024-12-12
R000225,O000331,4,Delivery took longer than expected.,2024-05-27,2024-05-28,2024-05-31
R000226,O000332,3,"Product is okay, average quality.",2023-04-25,2023-04-28,2023-05-02
R000227,O000333,5,"Great product, fast delivery!",2023-12-18,2023-12-18,2023-12-21
R000228,O000334,5,"Excellent quality, will buy again.",2023-01-16,2023-01-16,2023-01-18
R000229,O000335,3,Decent but packaging could improve.,2023-12-22,2023-12-24,2023-12-26
R000230,O000336,4,Decent but packaging could improve.,2024-12-23,2024-12-24,2024-12-28
R000231,O000337,3,Decent but packaging could improve.,2023-10-11,2023-10-14,2023-10-16
R000232,O000338,3,"Works fine, nothing special.",2023-02-08,2023-02-07,2023-02-09
R000233,O000339,4,Delivery took longer than expected.,2023-01-21,2023-01-24,2023-01-26
R000234,O000341,5,Good value for money.,2023-05-11,2023-05-10,2023-05-14
R000235,O000342,4,"Great product, fast delivery!",2023-01-29,2023-01-29,2023-02-01
R000236,O000343,5,"Excellent quality, will buy again.",2024-06-18,2024-06-16,2024-06-20
R000237,O000344,5,Loved it!,2023-12-05,2023-12-04,2023-12-06
R000238,O000345,5,"Excellent quality, will buy again.",2023-07-13,2023-07-13,2023-07-16
R000239,O000346,4,Decent but packaging could improve.,2024-11-30,2024-12-02,2024-12-06
R000240,O000347,4,"Product is okay, average quality.",2023-04-06,2023-04-09,2023-04-13
R000241,O000348,4,Delivery took longer than expected.,2024-12-07,2024-12-08,2024-12-11
R000242,O000353,2,Delivery took longer than expected.,2024-12-14,2024-12-16,2024-12-17
R000243,O000354,4,Exactly as described. Very happy.,2023-07-14,2023-07-12,2023-07-14
R000244,O000355,4,Good value for money.,2024-12-22,2024-12-20,2024-12-22
R000245,O000356,5,"Great product, fast delivery!",2023-10-22,2023-10-20,2023-10-22
R000246,O000357,4,Delivery took longer than expected.,2023-10-09,2023-10-10,2023-10-14
R000247,O000359,2,"Product is okay, average quality.",2024-01-23,2024-01-24,2024-01-28
R000248,O000360,4,"Great product, fast delivery!",2023-05-12,2023-05-10,2023-05-13
R000249,O000361,4,"Product is okay, average quality.",2024-01-25,2024-01-26,2024-01-28
R000250,O000363,3,Decent but packaging could improve.,2024-06-15,2024-06-18,2024-06-20
R000251,O000364,2,"Very late delivery, disappointed.",2024-09-14,2024-09-19,2024-09-22
R000252,O000365,5,Loved it!,2023-11-25,2023-11-24,2023-11-27
R000253,O000366,3,Delivery took longer than expected.,2023-08-12,2023-08-13,2023-08-16
R000254,O000367,4,Loved it!,2023-07-28,2023-07-27,2023-07-29
R000255,O000368,4,Decent but packaging could improve.,2023-06-09,2023-06-12,2023-06-15
R000256,O000372,4,"Excellent quality, will buy again.",2024-12-22,2024-12-21,2024-12-22
R000257,O000374,3,Decent but packaging could improve.,2023-10-02,2023-10-01,2023-10-02
R000258,O000375,3,Decent but packaging could improve.,2024-02-23,2024-02-24,2024-02-25
R000259,O000376,4,Good value for money.,2023-04-29,2023-04-28,2023-05-02
R000260,O000377,3,"Works fine, nothing special.",2023-12-02,2023-12-04,2023-12-05
R000261,O000378,4,"Product is okay, average quality.",2024-03-11,2024-03-12,2024-03-16
R000262,O000379,5,Exactly as described. Very happy.,2023-12-27,2023-12-26,2023-12-28
R000263,O000380,4,"Great product, fast delivery!",2023-10-19,2023-10-17,2023-10-21
R000264,O000381,5,Exactly as described. Very happy.,2024-12-09,2024-12-08,2024-12-09
R000265,O000382,2,Delivery took longer than expected.,2024-11-16,2024-11-17,2024-11-20
R000266,O000383,4,"Excellent quality, will buy again.",2024-03-27,2024-03-25,2024-03-27
R000267,O000384,5,Exactly as described. Very happy.,2024-02-02,2024-02-02,2024-02-04
R000268,O000385,4,"Works fine, nothing special.",2024-03-23,2024-03-26,2024-03-30
R000269,O000386,4,Decent but packaging could improve.,2023-06-09,2023-06-12,2023-06-13
R000270,O000387,4,Loved it!,2023-10-21,2023-10-19,2023-10-22
R000271,O000390,3,"Product is okay, average quality.",2024-01-08,2024-01-11,2024-01-12
R000272,O000392,4,Delivery took longer than expected.,2024-12-28,2024-12-29,2024-12-30
R000273,O000393,4,Loved it!,2024-11-14,2024-11-14,2024-11-15
R000274,O000394,4,"Product is okay, average quality.",2024-05-17,2024-05-18,2024-05-21
R000275,O000395,3,"Product is okay, average quality.",2024-01-12,2024-01-10,2024-01-13
R000276,O000396,5,"Excellent quality, will buy again.",2024-10-23,2024-10-21,2024-10-25
R000277,O000397,5,Good value for money.,2023-04-20,2023-04-18,2023-04-19
R000278,O000398,3,Delivery took longer than expected.,2024-07-27,2024-07-30,2024-08-02
R000279,O000402,5,"Excellent quality, will buy again.",2024-11-24,2024-11-22,2024-11-25
R000280,O000403,3,Decent but packaging could improve.,2024-12-25,2024-12-25,2024-12-27
R000281,O000404,4,Exactly as described. Very happy.,2023-04-15,2023-04-14,2023-04-16
R000282,O000405,3,"Product is okay, average quality.",2023-11-19,2023-11-20,2023-11-24
R000283,O000407,2,"Product is okay, average quality.",2023-12-08,2023-12-09,2023-12-11
R000284,O000408,3,"Product is okay, average quality.",2024-11-03,2024-11-01,2024-11-04
R000285,O000410,4,"Great product, fast delivery!",2023-10-09,2023-10-07,2023-10-11
R000286,O000412,4,"Excellent quality, will buy again.",2023-06-30,2023-06-29,2023-06-30
R000287,O000416,5,"Excellent quality, will buy again.",2023-12-17,2023-12-15,2023-12-18
R000288,O000417,3,"Product is okay, average quality.",2024-02-29,2024-03-03,2024-03-05
R000289,O000418,5,"Great product, fast delivery!",2024-10-27,2024-10-27,2024-10-28
R000290,O000420,4,"Works fine, nothing special.",2023-10-22,2023-10-24,2023-10-27
R000291,O000421,2,"Poor packaging, item was scratched.",2024-09-11,2024-09-16,2024-09-17
R000292,O000422,3,"Works fine, nothing special.",2024-06-17,2024-06-18,2024-06-21
R000293,O000423,3,Decent but packaging could improve.,2024-03-01,2024-03-02,2024-03-06
R000294,O000424,3,"Product is okay, average quality.",2025-01-02,2025-01-04,2025-01-06
R000295,O000427,3,"Works fine, nothing special.",2024-10-15,2024-10-13,2024-10-16
R000296,O000428,4,"Works fine, nothing special.",2023-11-17,2023-11-20,2023-11-21
R000297,O000430,5,"Excellent quality, will buy again.",2024-11-12,2024-11-11,2024-11-13
R000298,O000431,5,Exactly as described. Very happy.,2023-02-11,2023-02-11,2023-02-12
R000299,O000432,3,Delivery took longer than expected.,2024-11-16,2024-11-19,2024-11-20
R000300,O000433,5,Exactly as described. Very happy.,2023-11-16,2023-11-15,2023-11-16
R000301,O000434,3,"Works fine, nothing special.",2023-12-12,2023-12-14,2023-12-16
R000302,O000435,4,Good value for money.,2024-03-28,2024-03-26,2024-03-29
R000303,O000437,4,"Excellent quality, will buy again.",2023-01-20,2023-01-20,2023-01-23
R000304,O000439,4,"Works fine, nothing special.",2024-05-11,2024-05-14,2024-05-17
R000305,O000440,5,"Excellent quality, will buy again.",2024-05-22,2024-05-20,2024-05-23
R000306,O000441,2,"Product is okay, average quality.",2024-05-18,2024-05-19,2024-05-23
R000307,O000442,3,Decent but packaging could improve.,2023-04-20,2023-04-22,2023-04-26
R000308,O000445,1,Not worth the price.,2024-08-26,2024-09-02,2024-09-04
R000309,O000446,5,Exactly as described. Very happy.,2023-07-06,2023-07-04,2023-07-05
R000310,O000448,4,"Works fine, nothing special.",2024-12-22,2024-12-23,2024-12-26
R000311,O000449,5,Exactly as described. Very happy.,2023-01-12,2023-01-11,2023-01-14
R000312,O000452,3,Product quality not as expected.,2024-09-09,2024-09-14,2024-09-18
R000313,O000457,4,Delivery took longer than expected.,2024-06-29,2024-06-30,2024-07-04
R000314,O000458,5,Exactly as described. Very happy.,2023-04-22,2023-04-21,2023-04-25
R000315,O000459,4,Exactly as described. Very happy.,2024-06-25,2024-06-23,2024-06-27
R000316,O000460,3,"Product is okay, average quality.",2024-06-18,2024-06-19,2024-06-20
R000317,O000461,4,Exactly as described. Very happy.,2024-04-14,2024-04-14,2024-04-15
R000318,O000464,4,Good value for money.,2024-03-31,2024-03-29,2024-04-02
R000319,O000465,5,"Great product, fast delivery!",2023-03-07,2023-03-07,2023-03-11
R000320,O000466,4,"Great product, fast delivery!",2023-12-26,2023-12-24,2023-12-28
R000321,O000467,4,"Product is okay, average quality.",2023-03-31,2023-04-02,2023-04-05
R000322,O000468,3,Delivery took longer than expected.,2023-10-20,2023-10-21,2023-10-23
R000323,O000469,3,"Works fine, nothing special.",2023-10-21,2023-10-22,2023-10-24
R000324,O000470,3,"Product is okay, average quality.",2023-02-25,2023-02-27,2023-02-28
R000325,O000471,2,Delivery took longer than expected.,2023-10-04,2023-10-07,2023-10-09
R000326,O000474,4,Loved it!,2024-12-10,2024-12-09,2024-12-11
R000327,O000475,5,Loved it!,2023-02-17,2023-02-16,2023-02-18
R000328,O000476,5,Loved it!,2024-12-23,2024-12-21,2024-12-24
